,emotion,base,rewriting,semantic
0,悲伤,这是由特别事件引起的吗？,,0
50,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
97,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
145,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
193,悲伤,谢谢。现在我会问一些问题以了解您的情况。,,4
243,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,,5
293,悲伤,您认为您应该成为别人的救星吗？,,6
341,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
389,悲伤,您觉得您在试图控制某人吗？,,8
436,悲伤,当出现问题时，您是否总是责怪和指责自己？,,9
485,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,,10
532,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
581,愤怒,这是由特别事件引起的吗？,,0
625,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
669,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
711,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
753,愤怒,谢谢。现在我会问一些问题以了解您的情况。,,4
798,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,,5
840,愤怒,您认为您应该成为别人的救星吗？,,6
884,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
927,愤怒,您觉得您在试图控制某人吗？,,8
970,愤怒,当出现问题时，您是否总是责怪和指责自己？,,9
1015,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,,10
1059,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
1101,焦虑,这是由特别事件引起的吗？,,0
1150,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
1200,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
1249,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
1298,焦虑,谢谢。现在我会问一些问题以了解您的情况。,,4
1348,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,,5
1398,焦虑,您认为您应该成为别人的救星吗？,,6
1448,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
1498,焦虑,您觉得您在试图控制某人吗？,,8
1548,焦虑,当出现问题时，您是否总是责怪和指责自己？,,9
1598,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,,10
1648,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
1698,快乐,那很好！让我推荐一个您可以尝试的协议。,,12
1747,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,,13
1797,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,,14
1847,所有情绪,感谢您的参与。再见,,15
1897,所有情绪,这是我的建议，请选择您想尝试的协议,,16
1946,所有情绪,请现在尝试通过此协议。完成后，按“继续”,,17
1995,所有情绪,采取此协议后，您感觉更好还是更糟？,,18
2044,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,,19
2094,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,,19
1698,快乐,那很好！让我推荐一个您可以尝试的协议。,,12
1747,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,,13
1797,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,,14
1847,所有情绪,感谢您的参与。再见,,15
1897,所有情绪,这是我的建议，请选择您想尝试的协议,,16
1946,所有情绪,请现在尝试通过此协议。完成后，按“继续”,,17
1995,所有情绪,采取此协议后，您感觉更好还是更糟？,,18
2044,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,,19
2094,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,,19
1698,快乐,那很好！让我推荐一个您可以尝试的协议。,,12
1747,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,,13
1797,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,,14
1847,所有情绪,感谢您的参与。再见,,15
1897,所有情绪,这是我的建议，请选择您想尝试的协议,,16
1946,所有情绪,请现在尝试通过此协议。完成后，按“继续”,,17
1995,所有情绪,采取此协议后，您感觉更好还是更糟？,,18
2044,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,,19
2094,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,,19
